Datetime,WEIGHT,hour,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,lag1,lag2,lag3
2023-08-28 20:00:00,6470,20,0,3,8,2023,240,28,35,,,
2023-08-28 22:00:00,6470,22,0,3,8,2023,240,28,35,,,
2023-08-29 00:00:00,6470,0,1,3,8,2023,241,29,35,,,
2023-08-29 02:00:00,6480,2,1,3,8,2023,241,29,35,,,
2023-08-29 04:00:00,6480,4,1,3,8,2023,241,29,35,,,
2023-08-29 06:00:00,6480,6,1,3,8,2023,241,29,35,,,
2023-08-29 08:00:00,6480,8,1,3,8,2023,241,29,35,,,
2023-08-29 10:00:00,6470,10,1,3,8,2023,241,29,35,,,
2023-08-29 12:00:00,6460,12,1,3,8,2023,241,29,35,,,
2023-08-29 14:00:00,5060,14,1,3,8,2023,241,29,35,,,
2023-08-29 16:00:00,4990,16,1,3,8,2023,241,29,35,,,
2023-08-29 18:00:00,4460,18,1,3,8,2023,241,29,35,,,
2023-08-29 20:00:00,4470,20,1,3,8,2023,241,29,35,,,
2023-08-29 22:00:00,4470,22,1,3,8,2023,241,29,35,,,
2023-08-30 00:00:00,4470,0,2,3,8,2023,242,30,35,,,
2023-08-30 02:00:00,4470,2,2,3,8,2023,242,30,35,,,
2023-08-30 04:00:00,4470,4,2,3,8,2023,242,30,35,,,
2023-08-30 06:00:00,4470,6,2,3,8,2023,242,30,35,,,
2023-08-30 08:00:00,4470,8,2,3,8,2023,242,30,35,,,
2023-08-30 10:00:00,4430,10,2,3,8,2023,242,30,35,,,
2023-08-30 12:00:00,3090,12,2,3,8,2023,242,30,35,,,
2023-08-30 14:00:00,7610,14,2,3,8,2023,242,30,35,,,
2023-08-30 16:00:00,6780,16,2,3,8,2023,242,30,35,,,
2023-08-30 18:00:00,5850,18,2,3,8,2023,242,30,35,,,
2023-08-30 20:00:00,5850,20,2,3,8,2023,242,30,35,6470.0,,
2023-08-30 22:00:00,5850,22,2,3,8,2023,242,30,35,6470.0,,
2023-08-31 00:00:00,5850,0,3,3,8,2023,243,31,35,6470.0,,
2023-08-31 02:00:00,5850,2,3,3,8,2023,243,31,35,6480.0,,
2023-08-31 04:00:00,5860,4,3,3,8,2023,243,31,35,6480.0,,
2023-08-31 06:00:00,5860,6,3,3,8,2023,243,31,35,6480.0,,
2023-08-31 08:00:00,5860,8,3,3,8,2023,243,31,35,6480.0,,
2023-08-31 10:00:00,5850,10,3,3,8,2023,243,31,35,6470.0,,
2023-08-31 12:00:00,5660,12,3,3,8,2023,243,31,35,6460.0,,
2023-08-31 14:00:00,4410,14,3,3,8,2023,243,31,35,5060.0,,
2023-08-31 16:00:00,7140,16,3,3,8,2023,243,31,35,4990.0,,
2023-08-31 18:00:00,7140,18,3,3,8,2023,243,31,35,4460.0,,
2023-08-31 20:00:00,7150,20,3,3,8,2023,243,31,35,4470.0,,
2023-08-31 22:00:00,7150,22,3,3,8,2023,243,31,35,4470.0,,
2023-09-01 00:00:00,7150,0,4,3,9,2023,244,1,35,4470.0,,
2023-09-01 02:00:00,7150,2,4,3,9,2023,244,1,35,4470.0,,
2023-09-01 04:00:00,7150,4,4,3,9,2023,244,1,35,4470.0,,
2023-09-01 06:00:00,7150,6,4,3,9,2023,244,1,35,4470.0,,
2023-09-01 08:00:00,7150,8,4,3,9,2023,244,1,35,4470.0,,
2023-09-01 10:00:00,7140,10,4,3,9,2023,244,1,35,4430.0,,
2023-09-01 12:00:00,6470,12,4,3,9,2023,244,1,35,3090.0,,
2023-09-01 14:00:00,5600,14,4,3,9,2023,244,1,35,7610.0,,
2023-09-01 16:00:00,5560,16,4,3,9,2023,244,1,35,6780.0,,
2023-09-01 18:00:00,5560,18,4,3,9,2023,244,1,35,5850.0,,
2023-09-01 20:00:00,5570,20,4,3,9,2023,244,1,35,5850.0,,
2023-09-01 22:00:00,5570,22,4,3,9,2023,244,1,35,5850.0,,
2023-09-02 00:00:00,5570,0,5,3,9,2023,245,2,35,5850.0,,
2023-09-02 02:00:00,5570,2,5,3,9,2023,245,2,35,5850.0,,
2023-09-02 04:00:00,5570,4,5,3,9,2023,245,2,35,5860.0,,
2023-09-02 06:00:00,5570,6,5,3,9,2023,245,2,35,5860.0,,
2023-09-02 08:00:00,5570,8,5,3,9,2023,245,2,35,5860.0,,
2023-09-02 10:00:00,5570,10,5,3,9,2023,245,2,35,5850.0,,
2023-09-02 12:00:00,5560,12,5,3,9,2023,245,2,35,5660.0,,
2023-09-02 14:00:00,5550,14,5,3,9,2023,245,2,35,4410.0,,
2023-09-02 16:00:00,5550,16,5,3,9,2023,245,2,35,7140.0,,
2023-09-02 18:00:00,5560,18,5,3,9,2023,245,2,35,7140.0,,
2023-09-02 20:00:00,5560,20,5,3,9,2023,245,2,35,7150.0,,
2023-09-02 22:00:00,5560,22,5,3,9,2023,245,2,35,7150.0,,
2023-09-03 00:00:00,5560,0,6,3,9,2023,246,3,35,7150.0,,
2023-09-03 02:00:00,5570,2,6,3,9,2023,246,3,35,7150.0,,
2023-09-03 04:00:00,5570,4,6,3,9,2023,246,3,35,7150.0,,
2023-09-03 06:00:00,5570,6,6,3,9,2023,246,3,35,7150.0,,
2023-09-03 08:00:00,5560,8,6,3,9,2023,246,3,35,7150.0,,
2023-09-03 10:00:00,5560,10,6,3,9,2023,246,3,35,7140.0,,
2023-09-03 12:00:00,5550,12,6,3,9,2023,246,3,35,6470.0,,
2023-09-03 14:00:00,5530,14,6,3,9,2023,246,3,35,5600.0,,
2023-09-03 16:00:00,5540,16,6,3,9,2023,246,3,35,5560.0,,
2023-09-03 18:00:00,5550,18,6,3,9,2023,246,3,35,5560.0,,
2023-09-03 20:00:00,5550,20,6,3,9,2023,246,3,35,5570.0,,
2023-09-03 22:00:00,5560,22,6,3,9,2023,246,3,35,5570.0,,
2023-09-04 00:00:00,5560,0,0,3,9,2023,247,4,36,5570.0,,
2023-09-04 02:00:00,5560,2,0,3,9,2023,247,4,36,5570.0,,
2023-09-04 04:00:00,5560,4,0,3,9,2023,247,4,36,5570.0,,
2023-09-04 06:00:00,5560,6,0,3,9,2023,247,4,36,5570.0,,
2023-09-04 08:00:00,5560,8,0,3,9,2023,247,4,36,5570.0,,
2023-09-04 10:00:00,5510,10,0,3,9,2023,247,4,36,5570.0,,
2023-09-04 12:00:00,4320,12,0,3,9,2023,247,4,36,5560.0,,
2023-09-04 14:00:00,2520,14,0,3,9,2023,247,4,36,5550.0,,
2023-09-04 16:00:00,4830,16,0,3,9,2023,247,4,36,5550.0,,
2023-09-04 18:00:00,4840,18,0,3,9,2023,247,4,36,5560.0,,
2023-09-04 20:00:00,4840,20,0,3,9,2023,247,4,36,5560.0,,
2023-09-04 22:00:00,4840,22,0,3,9,2023,247,4,36,5560.0,,
2023-09-05 00:00:00,4840,0,1,3,9,2023,248,5,36,5560.0,,
2023-09-05 02:00:00,4840,2,1,3,9,2023,248,5,36,5570.0,,
2023-09-05 04:00:00,4850,4,1,3,9,2023,248,5,36,5570.0,,
2023-09-05 06:00:00,4850,6,1,3,9,2023,248,5,36,5570.0,,
2023-09-05 08:00:00,4850,8,1,3,9,2023,248,5,36,5560.0,,
2023-09-05 10:00:00,4310,10,1,3,9,2023,248,5,36,5560.0,,
2023-09-05 12:00:00,2100,12,1,3,9,2023,248,5,36,5550.0,,
2023-09-05 14:00:00,8520,14,1,3,9,2023,248,5,36,5530.0,,
2023-09-05 16:00:00,8530,16,1,3,9,2023,248,5,36,5540.0,,
2023-09-05 18:00:00,8530,18,1,3,9,2023,248,5,36,5550.0,,
2023-09-05 20:00:00,8540,20,1,3,9,2023,248,5,36,5550.0,,
2023-09-05 22:00:00,8540,22,1,3,9,2023,248,5,36,5560.0,,
2023-09-06 00:00:00,8540,0,2,3,9,2023,249,6,36,5560.0,,
2023-09-06 02:00:00,8540,2,2,3,9,2023,249,6,36,5560.0,,
2023-09-06 04:00:00,8550,4,2,3,9,2023,249,6,36,5560.0,,
2023-09-06 06:00:00,8550,6,2,3,9,2023,249,6,36,5560.0,,
2023-09-06 08:00:00,8550,8,2,3,9,2023,249,6,36,5560.0,,
2023-09-06 10:00:00,8530,10,2,3,9,2023,249,6,36,5510.0,,
2023-09-06 12:00:00,8510,12,2,3,9,2023,249,6,36,4320.0,,
2023-09-06 14:00:00,8870,14,2,3,9,2023,249,6,36,2520.0,,
2023-09-06 16:00:00,8880,16,2,3,9,2023,249,6,36,4830.0,,
2023-09-06 18:00:00,8890,18,2,3,9,2023,249,6,36,4840.0,,
2023-09-06 20:00:00,8900,20,2,3,9,2023,249,6,36,4840.0,,
2023-09-06 22:00:00,8900,22,2,3,9,2023,249,6,36,4840.0,,
2023-09-07 00:00:00,8890,0,3,3,9,2023,250,7,36,4840.0,,
2023-09-07 02:00:00,8890,2,3,3,9,2023,250,7,36,4840.0,,
2023-09-07 04:00:00,8890,4,3,3,9,2023,250,7,36,4850.0,,
2023-09-07 06:00:00,8900,6,3,3,9,2023,250,7,36,4850.0,,
2023-09-07 08:00:00,8900,8,3,3,9,2023,250,7,36,4850.0,,
2023-09-07 10:00:00,8890,10,3,3,9,2023,250,7,36,4310.0,,
2023-09-07 12:00:00,7960,12,3,3,9,2023,250,7,36,2100.0,,
2023-09-07 14:00:00,5720,14,3,3,9,2023,250,7,36,8520.0,,
2023-09-07 16:00:00,5250,16,3,3,9,2023,250,7,36,8530.0,,
2023-09-07 18:00:00,5260,18,3,3,9,2023,250,7,36,8530.0,,
2023-09-07 20:00:00,9110,20,3,3,9,2023,250,7,36,8540.0,6470.0,
2023-09-07 22:00:00,9110,22,3,3,9,2023,250,7,36,8540.0,6470.0,
2023-09-08 00:00:00,9110,0,4,3,9,2023,251,8,36,8540.0,6470.0,
2023-09-08 02:00:00,9110,2,4,3,9,2023,251,8,36,8540.0,6480.0,
2023-09-08 04:00:00,9110,4,4,3,9,2023,251,8,36,8550.0,6480.0,
2023-09-08 06:00:00,9110,6,4,3,9,2023,251,8,36,8550.0,6480.0,
2023-09-08 08:00:00,9110,8,4,3,9,2023,251,8,36,8550.0,6480.0,
2023-09-08 10:00:00,9100,10,4,3,9,2023,251,8,36,8530.0,6470.0,
2023-09-08 12:00:00,9100,12,4,3,9,2023,251,8,36,8510.0,6460.0,
2023-09-08 14:00:00,8420,14,4,3,9,2023,251,8,36,8870.0,5060.0,
2023-09-08 16:00:00,7770,16,4,3,9,2023,251,8,36,8880.0,4990.0,
2023-09-08 18:00:00,7780,18,4,3,9,2023,251,8,36,8890.0,4460.0,
2023-09-08 20:00:00,7780,20,4,3,9,2023,251,8,36,8900.0,4470.0,
2023-09-08 22:00:00,7780,22,4,3,9,2023,251,8,36,8900.0,4470.0,
2023-09-09 00:00:00,7780,0,5,3,9,2023,252,9,36,8890.0,4470.0,
2023-09-09 02:00:00,7780,2,5,3,9,2023,252,9,36,8890.0,4470.0,
2023-09-09 04:00:00,7780,4,5,3,9,2023,252,9,36,8890.0,4470.0,
2023-09-09 06:00:00,7780,6,5,3,9,2023,252,9,36,8900.0,4470.0,
2023-09-09 08:00:00,7780,8,5,3,9,2023,252,9,36,8900.0,4470.0,
2023-09-09 10:00:00,7780,10,5,3,9,2023,252,9,36,8890.0,4430.0,
2023-09-09 12:00:00,7780,12,5,3,9,2023,252,9,36,7960.0,3090.0,
2023-09-09 14:00:00,7770,14,5,3,9,2023,252,9,36,5720.0,7610.0,
2023-09-09 16:00:00,7770,16,5,3,9,2023,252,9,36,5250.0,6780.0,
2023-09-09 18:00:00,7770,18,5,3,9,2023,252,9,36,5260.0,5850.0,
2023-09-09 20:00:00,7770,20,5,3,9,2023,252,9,36,9110.0,5850.0,
2023-09-09 22:00:00,7770,22,5,3,9,2023,252,9,36,9110.0,5850.0,
2023-09-10 00:00:00,7770,0,6,3,9,2023,253,10,36,9110.0,5850.0,
2023-09-10 02:00:00,7770,2,6,3,9,2023,253,10,36,9110.0,5850.0,
2023-09-10 04:00:00,7770,4,6,3,9,2023,253,10,36,9110.0,5860.0,
2023-09-10 06:00:00,7780,6,6,3,9,2023,253,10,36,9110.0,5860.0,
2023-09-10 08:00:00,7780,8,6,3,9,2023,253,10,36,9110.0,5860.0,
2023-09-10 10:00:00,7770,10,6,3,9,2023,253,10,36,9100.0,5850.0,
2023-09-10 12:00:00,7760,12,6,3,9,2023,253,10,36,9100.0,5660.0,
2023-09-10 14:00:00,7750,14,6,3,9,2023,253,10,36,8420.0,4410.0,
2023-09-10 16:00:00,7760,16,6,3,9,2023,253,10,36,7770.0,7140.0,
2023-09-10 18:00:00,7760,18,6,3,9,2023,253,10,36,7780.0,7140.0,
2023-09-10 20:00:00,7760,20,6,3,9,2023,253,10,36,7780.0,7150.0,
2023-09-10 22:00:00,7770,22,6,3,9,2023,253,10,36,7780.0,7150.0,
2023-09-11 00:00:00,7770,0,0,3,9,2023,254,11,37,7780.0,7150.0,
2023-09-11 02:00:00,7770,2,0,3,9,2023,254,11,37,7780.0,7150.0,
2023-09-11 04:00:00,7770,4,0,3,9,2023,254,11,37,7780.0,7150.0,
2023-09-11 06:00:00,7770,6,0,3,9,2023,254,11,37,7780.0,7150.0,
2023-09-11 08:00:00,7770,8,0,3,9,2023,254,11,37,7780.0,7150.0,
2023-09-11 10:00:00,7650,10,0,3,9,2023,254,11,37,7780.0,7140.0,
2023-09-11 12:00:00,6450,12,0,3,9,2023,254,11,37,7780.0,6470.0,
2023-09-11 14:00:00,5790,14,0,3,9,2023,254,11,37,7770.0,5600.0,
2023-09-11 16:00:00,5230,16,0,3,9,2023,254,11,37,7770.0,5560.0,
2023-09-11 18:00:00,4420,18,0,3,9,2023,254,11,37,7770.0,5560.0,
2023-09-11 20:00:00,4420,20,0,3,9,2023,254,11,37,7770.0,5570.0,
2023-09-11 22:00:00,4420,22,0,3,9,2023,254,11,37,7770.0,5570.0,
2023-09-12 00:00:00,4420,0,1,3,9,2023,255,12,37,7770.0,5570.0,
2023-09-12 02:00:00,4430,2,1,3,9,2023,255,12,37,7770.0,5570.0,
2023-09-12 04:00:00,4430,4,1,3,9,2023,255,12,37,7770.0,5570.0,
2023-09-12 06:00:00,4430,6,1,3,9,2023,255,12,37,7780.0,5570.0,
2023-09-12 08:00:00,4430,8,1,3,9,2023,255,12,37,7780.0,5570.0,
2023-09-12 10:00:00,4420,10,1,3,9,2023,255,12,37,7770.0,5570.0,
